index,path_length,expanded_nodes_num
451,10828.976182581056,75509
452,12034.668750205343,63834
453,17639.761963917543,69039
454,16113.711965192837,72654
455,16791.04710171669,83780
456,21076.080215436472,103020
457,18600.599625758365,101573
458,16287.76073842813,99692
459,13602.652731752045,50895
460,11354.238159251961,65174
461,13555.446670991416,88199
462,22780.076390292015,103115
463,17597.139597553443,109399
464,25966.60784524651,102503
465,16268.032816366787,98548
466,20361.44861435632,80470
467,13620.01521348634,38854
468,24734.26852464046,111207
469,13734.392847122248,82643
470,16658.544576399767,103288
471,36929.502858742504,129362
472,14541.745227588812,97703
473,18083.100059034197,88592
474,14035.850783286054,76676
475,14865.688445126862,87690
476,20929.060879452674,97045
477,16389.765789062014,98485
478,19762.44652231523,94979
479,24990.927470931052,100498
480,19297.792626658495,118980
481,21990.599118144404,106598
482,14986.553452178086,68870
483,19056.910375664575,77705
484,18915.32963986082,92766
485,11193.191478057724,65811
486,33414.628258042576,128444
487,17060.446163377474,94180
488,18205.369178380057,111596
489,17763.879712923637,117841
490,24451.722276722096,99716
491,25444.16715302541,125981
492,17768.039092490064,124535
493,14795.497536267814,85423
494,23270.13230620227,89678
495,15077.210306427587,67039
496,19905.311529366452,116759
497,13530.491260144541,81721
498,22358.777833694618,86481
499,28455.110729501186,89526
500,1356.9646455628213,56468
501,661.7960312803953,15394
502,388.2325394193536,10179
503,266.03657992645975,6733
504,842.9625535217667,33347
505,53.355339059327356,148
506,1006.6021638285566,54213
507,93.25483399593901,1223
508,280.42135623731014,5528
509,233.551298552221,4113
510,456.07315985292,17755
511,583.1564209736055,27200
512,565.3279938488591,17863
513,429.44574285495014,12818
514,831.3178925810942,49931
515,731.139177030903,36168
516,125.02438661763941,736
517,974.1463197058405,53089
518,847.0924958366776,23883
519,160.36753236814724,2098
520,790.3229432149766,30900
521,326.39191898578736,4472
522,163.36753236814715,2498
523,458.3158005400391,20409
524,710.5361466505734,31745
525,356.605122421384,11466
526,871.3351365237967,50319
527,697.3645737753194,34203
528,954.5310960166908,65488
529,408.3452377915618,18017
530,996.8742417671983,36737
531,684.2813126546341,49164
532,991.3300858899144,73016
533,577.2985565973366,20401
534,842.163563648543,34640
535,1143.6093065034938,48382
536,493.4163056034275,14851
537,554.0142853498744,24084
538,1293.905771059776,67915
539,125.4680374315354,870
540,163.12489168102792,1594
541,552.2985565973365,19337
542,1268.538238691628,51653
543,971.371716450257,37682
544,199.16652224137067,3532
545,259.5218613006982,6103
546,513.0315292925773,19467
547,131.46803743153538,1562
548,617.7422074112326,20381
549,616.09754647056,30004
550,980.4011537017798,48891
551,335.1909088590109,6006
552,651.6660889654843,32430
553,386.5462479183384,9042
554,176.96551211459393,2601
555,775.0803025278574,28127
556,718.9381669041263,51300
557,506.39906166072484,13785
558,1034.5016587651678,87798
559,79.0832611206852,421
560,473.2863632885163,12979
561,894.1757569573631,40726
562,51.69848480983499,266
563,692.9087296526036,23530
564,810.3767670841394,41327
565,761.7544007200526,33984
566,386.9188309203688,12209
567,866.4478348960051,53094
568,374.36248173426463,8697
569,320.0193359837569,8187
570,455.9604614807116,6917
571,554.6417023478442,17211
572,773.9209229614236,36245
573,118.74011537017755,1586
574,897.7026688919445,55242
575,571.6122650963214,16655
576,279.66399692442945,5408
577,125.88225099390847,1824
578,176.81118318204307,1670
579,614.8427124746207,23026
580,55.94112549695425,316
581,769.2640687119313,24502
582,300.007142674937,6269
583,372.5756851698611,8817
584,630.269119345814,29288
585,559.0142853498744,15107
586,962.6316010800791,63093
587,853.8498551495582,60590
588,687.5828278447988,54200
589,725.6366517139614,28481
590,263.89444430272886,7829
591,809.0803025278574,48143
592,715.7249634685297,36390
593,320.0904037956225,5390
594,759.5655839020961,27242
595,716.7665940288726,35054
596,54.840620433565924,425
597,405.6883835420696,18862
598,148.68124086713186,1704
599,712.4062043356623,24988
600,955.6732316404218,59186
601,1200.8691911333158,50853
602,458.27416997969647,12106
603,1223.839753881793,65727
604,577.2985565973366,15636
605,776.3229432149766,31694
606,562.2863632885167,17911
607,1023.4305909533025,74625
608,207.69343417595184,3106
609,376.0020920410542,12916
610,620.09754647056,24125
611,469.9310242291888,16382
612,190.2375900532361,4138
613,748.2346314604085,37638
614,1102.1707063234803,62584
615,932.4305909533027,44666
616,278.90663761154855,6612
617,590.7838379715752,22287
618,156.43860018001254,1408
619,583.8843430349634,19781
620,861.0630585851547,47134
621,621.9848480983518,22609
622,361.617315730204,12749
623,435.96046148071173,10690
624,279.6639969244294,5162
625,629.2985565973365,21366
626,197.82337649086304,3671
627,54.698484809834966,239
628,655.3107499061565,34074
629,194.7939392393402,993
630,1152.5260453828084,68804
631,680.2102448427684,29251
632,621.1686142824254,17792
633,756.4062043356623,26114
634,528.7422074112325,24016
635,89.254833995939,484
636,596.0559159102172,31279
637,161.09545442950508,2194
638,685.837661840738,28018
639,946.5016587651679,48162
640,77.11269837220807,510
641,160.75230867899737,2496
642,954.4011537017797,44431
643,584.7838379715754,31677
644,1076.2001435750033,66050
645,1445.959594928939,62689
646,510.3574311003819,23226
647,534.1564209736055,14808
648,743.2396820942912,34135
649,340.0609665440998,5441
650,815.0924958366775,23465
651,698.8670990922608,49472
652,823.6488450227815,31512
653,628.5533905932757,24284
654,941.4722215136453,45985
655,680.2813126546338,29166
656,499.3574311003821,13447
657,125.88225099390849,984
658,601.7838379715752,22083
659,718.8376618407382,25297
660,988.7442994522874,68434
661,344.9482681718914,4969
662,1050.0458146424521,95739
663,723.2224381515883,43038
664,72.35533905932733,774
665,457.8305191658006,14660
666,1015.8864350760185,53534
667,882.1463197058405,27815
668,628.6833329081869,24584
669,220.86500705120577,5262
670,245.00714267493686,4080
671,216.89444430272852,2931
672,565.5706345359786,17875
673,718.8843430349636,24672
674,336.8477631085032,4744
675,642.1686142824257,28865
676,1404.0479066835073,51696
677,762.825468531918,21901
678,67.59797974644663,426
679,948.6143571373761,50398
680,579.0264786586943,21521
681,637.2102448427682,26666
682,932.1046891454976,37285
683,984.4011537017798,44277
684,1390.7463914933423,48797
685,538.2274887854709,14072
686,211.9360748630713,3734
687,792.435641587185,21355
688,777.6782822743044,33529
689,939.7442994522875,33102
690,801.0092347159919,29596
691,985.4011537017797,59032
692,420.1442276647853,17131
693,955.6021638285563,57899
694,750.553390593276,29857
695,1045.1585130146605,48495
696,759.9797974644694,38205
697,670.452885529888,23334
698,670.4112549695449,26704
699,761.6660889654845,26230
700,108.98275605729683,693
701,738.5950211536186,34738
702,213.65180361560925,3319
703,315.3919189857873,8520
704,760.6366517139616,60864
705,519.1980515339484,19963
706,786.0803025278576,47004
707,606.8965363437835,15052
708,1112.0113267570468,55231
709,520.1442276647854,20300
710,496.0142853498745,24248
711,198.58073580374372,3349
712,1331.202235616058,62344
713,790.891485709901,43048
714,1345.7047609329993,58436
715,126.39696961966992,974
716,398.9604614807114,13460
717,674.695526217007,21790
718,607.7127701597095,35773
719,714.565583902096,38694
720,880.9036790187212,38974
721,180.16652224137061,3019
722,242.73506473629482,5236
723,647.8254685319179,24410
724,632.3696244092021,44132
725,926.6610383316018,40027
726,319.73506473629493,9282
727,249.46298679765277,7025
728,120.39696961966992,871
729,834.6660889654844,47733
730,501.2569260369936,20681
731,646.8132752230978,31699
732,539.357431100382,28241
733,485.44574285494997,9146
734,381.1320343559653,9801
735,186.7523086789975,2234
736,605.227488785471,25011
737,550.3158005400394,21989
738,799.1219330882004,50884
739,1203.4255403194197,72885
740,704.1097397793802,31902
741,252.48023074035567,4194
742,206.85281374238588,2388
743,1080.5727265770338,54781
744,702.967604155649,24226
745,1013.359523141437,48079
746,340.84776310850316,9565
747,380.3746750430845,12016
748,1152.9818895055241,53659
749,1044.6732316404218,55613
750,242.55129855222106,4948
751,163.9949493661167,1961
752,501.2863632885165,20555
753,380.9188309203688,7719
754,146.5807358037435,2434
755,580.2863632885164,15343
756,1031.7321061434673,59937
757,357.09040379562254,8997
758,440.2325394193536,14371
759,623.5117600329331,20018
760,802.0803025278575,30894
761,1303.5504320004484,57466
762,289.49242404917555,3448
763,638.3401871576793,20314
764,73.8406204335659,176
765,228.3797256769671,3465
766,626.967604155649,23240
767,855.4772721475277,34303
768,579.2691193458136,34611
769,120.74011537017756,978
770,543.1858582251281,20835
771,656.3818177180221,20121
772,85.18376618407352,484
773,698.6244584051415,36082
774,1040.2001435750033,58425
775,184.89444430272846,2581
776,884.2346314604084,57342
777,255.27922061357887,2684
778,308.11984104714514,7696
779,472.487373415293,16214
780,498.18585822512824,11844
781,838.2762620207513,47131
782,58.35533905932735,485
783,771.0681092190374,30049
784,521.6000717875015,17585
785,1194.3666658163743,71165
786,946.78593001263,36053
787,421.00209204105437,11143
788,940.8864350760184,36246
789,477.5584412271585,12472
790,217.3797256769672,3618
791,432.3158005400391,20181
792,580.955410846829,31985
793,1142.0113267570468,79514
794,1225.4793641885828,91800
795,675.3523804664993,33817
796,528.3990616607248,23167
797,647.9970414071719,26633
798,673.2813126546339,25517
799,155.7106781186548,1334
800,493.1442276647854,14153
801,619.5533905932759,24068
802,1216.6681810065395,86374
803,226.2375900532363,3646
804,620.7838379715752,28256
805,482.44574285495025,14433
806,962.2295808265259,54561
807,243.24978336205615,5695
808,246.66399692442923,8506
809,696.8965363437835,36622
810,342.81832585698044,5899
811,121.66904755831207,1114
812,344.989898732234,9221
813,539.9432175380089,18167
814,659.8254685319179,21441
815,320.11984104714537,7502
816,799.6782822743044,48231
817,341.8355697996833,7182
818,649.0681092190373,30866
819,1068.075251893975,40979
820,668.0681092190374,20075
821,1080.2001435750033,39302
822,210.7228714274748,3225
823,866.5361466505735,51138
824,139.46803743153546,1580
825,493.5706345359783,19326
826,241.90663761154858,3555
827,487.0853531617399,16593
828,1463.8174593052079,59164
829,629.7838379715754,20774
830,412.85995641732336,10457
831,51.04163056034258,171
832,1000.4722215136453,51137
833,279.46298679765255,6121
834,604.7544007200524,37434
835,642.9970414071718,24247
836,1308.6509370638366,74362
837,149.61017305526636,2148
838,399.7178207935922,10835
839,1063.42554031942,42806
840,875.0630585851545,32015
841,543.9137802864861,17559
842,1070.697618258062,51930
843,545.0559159102171,24067
844,674.3818177180221,18958
845,751.8082245892152,46527
846,216.69343417595198,3982
847,806.8082245892153,35318
848,767.8914857099008,39654
849,950.6904755831245,46146
850,837.6366517139616,45961
851,124.53910524340083,979
852,515.055915910217,34874
853,1153.3128419472118,47974
854,892.6488450227816,49440
855,495.65894629054685,10246
856,623.6833329081869,37007
857,761.2813126546341,29980
858,334.90663761154883,7920
859,603.1564209736056,17152
860,141.32590180780448,1116
861,739.3645737753195,45130
862,1149.7981233214505,58214
863,80.11269837220806,763
864,181.48023074035547,1816
865,688.5239533417532,28439
866,951.1757569573633,49370
867,407.6173157302039,9800
868,177.92388155425127,2080
869,1016.3595231414372,53841
870,758.0924958366775,34851
871,66.91168824543138,516
872,401.68838354206946,13494
873,285.3208511739218,5014
874,1133.9280656363612,57852
875,419.81832585698055,10147
876,561.7127701597097,21690
